"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Gspay) - International","All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Gspay) - International"
"CartaSi (powered by Gspay) - Italy","CartaSi (powered by Gspay) - Italy"
"Carte Bleue (powered by Gspay) - France","Carte Bleue (powered by Gspay) - France"
"Customer ID","Customer ID"
"Dankort (powered by Gspay) - Denmark","Dankort (powered by Gspay) - Denmark"
"EPS Online-Überweisung (powered by Gspay) - Austria","EPS Online-Überweisung (powered by Gspay) - Austria"
"Enabled","Enabled"
"Find out more about Online Bank Transfer","Find out more about Online Bank Transfer"
"Giropay (powered by Gspay) - Germany","Giropay (powered by Gspay) - Germany"
"Laser (powered by Gspay) - Ireland","Laser (powered by Gspay) - Ireland"
"Lastschrift (ELV) (powered by Gspay) - Germany","Lastschrift (ELV) (powered by Gspay) - Germany"
"Loading secure payment page (SSL)","Loading secure payment page (SSL)"
"Maestro (powered by Gspay) - United Kingdom, Austria, Spain","Maestro (powered by Gspay) - United Kingdom, Austria, Spain"
"Gspay","Gspay"
"Gspay Settings","Gspay Settings"
"Gspay Transaction ID: %s","Gspay Transaction ID: %s"
"Gspay eWallet","Gspay eWallet"
"More information about Gspay","More information about Gspay"
"Nordea Solo (powered by Gspay) - Finland","Nordea Solo (powered by Gspay) - Finland"
"Nordea Solo (powered by Gspay) - Sweden","Nordea Solo (powered by Gspay) - Sweden"
"Online Bank Transfer (powered by Gspay)","Online Bank Transfer (powered by Gspay)"
"Order ID","Order ID"
"POLi (powered by Gspay) - Australia","POLi (powered by Gspay) - Australia"
"Payment failed.","Payment failed."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment has not been processed yet.","Payment has not been processed yet."
"Payment was canceled.","Payment was canceled."
"Pending bank transfer created.","Pending bank transfer created."
"Please pay your order now","Please pay your order now"
"Postepay (powered by Gspay) - Italy","Postepay (powered by Gspay) - Italy"
"Powered by Gspay","Powered by Gspay"
"Przelewy24 (powered by Gspay) - Poland","Przelewy24 (powered by Gspay) - Poland"
"Sofortüberweisung (powered by Gspay) - Germany","Sofortüberweisung (powered by Gspay) - Germany"
"Sort Order","Sort Order"
"The amount has been authorized and captured by Gspay.","The amount has been authorized and captured by Gspay."
"The customer was redirected to Gspay.","The customer was redirected to Gspay."
"The order has been canceled.","The order has been canceled."
"Title","Title"
"You will be redirected to our secure payment page when you place an order.","You will be redirected to our secure payment page when you place an order."
"eNETS (powered by Gspay) - Singapore","eNETS (powered by Gspay) - Singapore"
"iDeal (powered by Gspay) - Netherlands","iDeal (powered by Gspay) - Netherlands"
