id	mpn	title	description	link	image_link	price	brand	product_type	condition	google_product_category	manufacturer	availability
"15"	"15"	"Adaferin Gel "	"<p style=text-align: center;><span style=font-size: medium;><strong>Adaferin Gel</strong> <br /></span></p> <p style=text-align: justify;><span style=font-size: medium;><br /></span></p> <h3 style=text-align: justify;><span style=font-size: medium;>What is Adapalene?</span></h3> <p style=text-align: justify;><span style=font-size: medium;>Adapalene, also sold under the brand name Differin and Adapale Gel among several other names, is a topical (applied on the skin) drug that is used to heal severe acne. It is similar to vitamin A and helps the skin cells to rebuild.</span><br /><span style=font-size: medium;>Adapalene may also be used to treat other conditions not listed above.</span><br /><br /></p> <h3 style=text-align: justify;><span style=font-size: medium;>Important Information about Adapalene</span></h3> <p style=text-align: justify;><span style=font-s"	"http://www.directmall.co.uk/adaferin-gel.html"	"http://www.alldaychemist.com/media/catalog/product/s/k/sku_15_2.jpg"	"12.54"	""	"Laptop Chargers &amp; Adapters"	"new"	""	""	"in stock"
"412"	"412"	"Fair and Lovely Anti-marks Fairness Cream"	""	"http://www.directmall.co.uk/fair-and-lovely-anti-marks-fairness-cream.html"	"http://www.alldaychemist.com/media/catalog/product/s/k/sku_412_2.jpg"	"9.5"	""	"Laptop Chargers &amp; Adapters"	"new"	""	""	"in stock"
"516"	"516"	"Melalite 4%"	"<p style=text-align: center;><span style=font-size: medium;><strong>Melalite 4%</strong><br /></span></p> <p style=text-align: justify;><span style=font-size: medium;>The combination of Hydroquinone, Glyceryl Mono Para Amino Benzoate produces a medication that reduces the production of melanin. Melanin is a pigment in the skin that gives it the characteristic brown color. The amount of melanin in the skin decides the color. The more the melanin the darker is the skin color. The Hydroquinone, Glyceryl Mono Para Amino Benzoate is a medication that reduces the production of melanin. Melanin is a pigment in the skin that gives it the characteristic brown color.</span></p> <p style=text-align: justify;><span style=font-size: medium;>The topical drug is sold under various brand names in the market.</span></p> <p style=text-align: justify;><span style=font-size: medium;><stro"	"http://www.directmall.co.uk/melalite.html"	"http://www.alldaychemist.com/media/catalog/product/s/k/sku_516_2.jpg"	"7.64"	""	"Laptop Chargers &amp; Adapters"	"new"	""	""	"in stock"
"752"	"752"	"Yazz "	"<h3 class=c_head style=text-align: center;><span style=font-size: medium;><strong>Yazz</strong><br /></span></h3> <h3 class=c_head><span style=font-size: medium;><br /></span></h3> <h3 class=c_head><span style=font-size: medium;>What is Ofloxacin?</span></h3> <p class=c_content><span style=font-size: medium;>Ofloxacin is an antibiotic drug that belongs to a group of drugs known as fluoroquinolones that is used to fight several bacterial infections and is prescribed for the treatment of bronchitis, pneumonia, chlamydia, gonorrhea, skin infections, urinary tract infections, and prostate infections.</span></p> <p class=c_content><span style=font-size: medium;>Ofloxacin is available under several trade names such as Floxin and Zo (made by FDC), among a host of several other brands.</span></p> <p class=c_content><span style=font-size: medium;>Ofloxacin may also "	"http://www.directmall.co.uk/yazz.html"	"http://www.alldaychemist.com/media/catalog/productno_selection"	"29.95"	""	"Laptop Chargers &amp; Adapters"	"new"	""	""	"in stock"
"125"	"125"	"Calutide "	"<p style=text-align: center;><span style=font-size: medium;><strong>Calutide 50mg</strong><br /></span></p> <p style=text-align: justify;><span style=font-size: medium;>&nbsp;</span></p> <h3 style=text-align: justify;><span style=font-size: medium;>What is Bicalutamide?</span></h3> <p style=text-align: justify;><span style=font-size: medium;>Bicalutamide is an anti-androgen drug which is prescribed for prostate cancer. This drug works by preventing the actions of male hormones called androgens in the body. It is marketed under the trade names Casodex, Calutide (manufactured by Cipla) among several other trade names in the world.</span><br /><span style=font-size: medium;>Bicalutamide medication is used together in combination with another hormone to treat prostate cancer. This medication may also be prescribed for conditions not listed above.</span><br /><br /></p> "	"http://www.directmall.co.uk/calutide.html"	"http://www.alldaychemist.com/media/catalog/product/s/k/sku_125_2.jpg"	"52.04"	""	"Laptop Chargers &amp; Adapters"	"new"	""	""	"in stock"
"1133"	"1133"	"Terol "	"<p style=text-align: center;><span style=font-size: medium;><strong>Terol 1mg</strong><br /></span></p> <p style=text-align: justify;><span style=font-size: medium;>&nbsp;</span></p> <h3 style=text-align: justify;><span style=font-size: medium;>What is Tolterodine Tartrate?</span></h3> <p style=text-align: justify;><span style=font-size: medium;>Tolterodine Tartrate is a medication that relieves spasms of the bladder muscles. It is marketed under several trade names, some of which are Detrol and Terol (Made by Cipla).</span><br /><span style=font-size: medium;>Tolterodine Tartrate is used in the treatment of overactive bladder which has symptoms of frequent urination, urgency, and incontinence. It may also be given for conditions not mentioned above.</span><br /><br /></p> <h3 style=text-align: justify;><span style=font-size: medium;>Important Information about "	"http://www.directmall.co.uk/terol.html"	"http://www.alldaychemist.com/media/catalog/productno_selection"	"12.9"	""	"Laptop Chargers &amp; Adapters"	"new"	""	""	"in stock"
"1134"	"1134"	"Terol "	"<h3 style=text-align: center;><span style=font-size: medium;>Terol 2mg<br /></span></h3> <h3 style=text-align: justify;><span style=font-size: medium;>What is Tolterodine Tartrate?</span></h3> <p style=text-align: justify;><span style=font-size: medium;>Tolterodine Tartrate is a medication that relieves spasms of the bladder muscles. It is marketed under several trade names, some of which are Detrol and Terol (Made by Cipla).</span><br /><span style=font-size: medium;>Tolterodine Tartrate is used in the treatment of overactive bladder which has symptoms of frequent urination, urgency, and incontinence. It may also be given for conditions not mentioned above.</span><br /><br /></p> <h3 style=text-align: justify;><span style=font-size: medium;>Important Information about Tolterodine Tartrate</span></h3> <p style=text-align: justify;><span style=font-size: medium;>"	"http://www.directmall.co.uk/terol-2239.html"	"http://www.alldaychemist.com/media/catalog/product/s/k/sku_1134_2.jpg"	"18.41"	""	"Laptop Chargers &amp; Adapters"	"new"	""	""	"in stock"
"1135"	"1135"	"Terol LA "	"<h3 style=text-align: center;><span style=font-size: medium;><strong>Terol LA</strong> <br /></span></h3> <h3 style=text-align: justify;><span style=font-size: medium;>What is Tolterodine Tartrate?</span></h3> <p style=text-align: justify;><span style=font-size: medium;>Tolterodine Tartrate is a medication that relieves spasms of the bladder muscles. It is marketed under several trade names, some of which are Detrol and Terol (Made by Cipla).</span><br /><span style=font-size: medium;>Tolterodine Tartrate is used in the treatment of overactive bladder which has symptoms of frequent urination, urgency, and incontinence. It may also be given for conditions not mentioned above.</span><br /><br /></p> <h3 style=text-align: justify;><span style=font-size: medium;>Important Information about Tolterodine Tartrate</span></h3> <p style=text-align: justify;><span style=fon"	"http://www.directmall.co.uk/terol-la.html"	"http://www.alldaychemist.com/media/catalog/product/s/k/sku_1135_2.jpg"	"22.55"	""	"Laptop Chargers &amp; Adapters"	"new"	""	""	"in stock"
"1078"	"1078"	"Urimax "	"<h3 style=text-align: center;><span style=font-size: medium;>Urimax<br /></span></h3> <h3 style=text-align: justify;><span style=font-size: medium;>What is Tamsulosin?</span></h3> <p style=text-align: justify;><span style=font-size: medium;>Tamsulosin is a drug which belongs to a family of drugs called alpha-adrenergic blockers. It is sold under the trade names Flomax, Urimax (made by Cipla) among several other brand names which are sold in various countries.</span><br /><span style=font-size: medium;>Tamsulosin medication helps in relaxing the muscles in the neck of prostate and bladder, thereby making urination easier. Tamsulosin is prescribed primarily for men with benign prostatic hyperplasia (enlarge prostate) which makes it harder for them to urinate. This medication thus improves urination in men.</span><br /><span style=font-size: medium;>Tamsulosin may also be "	"http://www.directmall.co.uk/urimax.html"	"http://www.alldaychemist.com/media/catalog/product/s/k/sku_1078_2.jpg"	"17.2"	""	"Laptop Chargers &amp; Adapters"	"new"	""	""	"in stock"
"1079"	"1079"	"Veltam F"	""	"http://www.directmall.co.uk/veltam-f.html"	"http://www.alldaychemist.com/media/catalog/product/s/k/sku_1079_2.jpg"	"18.86"	""	"Laptop Chargers &amp; Adapters"	"new"	""	""	"in stock"
