sku,price
15-1,10.4765
15-3,27.5072
15-6,50.6412
15,10.4765
412 - 1,6.2445
412 - 3,15.9824
412 - 6,28.9008
412,6.2445
516 - 1,4.8645
516 - 3,13.5856
516 - 6,25.002
516,4.8645
558 - 3,18.3885
558 - 6,33.9136
558 - 9,47.682
558,18.3885
627 - 21,11.3965
627 - 42,20.3168
627 - 84,36.7308
627,11.3965
752 - 28,31.625
752 - 56,60.4352
752 - 84,85.752
752,31.625
125 - 30,59.6275
125 - 60,113.9824
125 - 90,161.7192
125,59.6275
1133 - 30,10.971
1133 - 60,19.5328
1133 - 90,26.4924
1133,10.971
1134 - 30,17.7905
1134 - 60,32.8048
1134 - 90,46.1268
1134,17.7905
1135 - 30,23.2875
1135 - 60,43.7472
1135 - 90,61.506
1135,23.2875
1078 - 30,16.1805
1078 - 60,29.848
1078 - 90,41.958
1078,16.1805
1079 - 30,18.3885
1079 - 60,33.9136
1079 - 90,47.682
1079,18.3885
1080 - 30,18.3885
1080 - 60,33.9136
1080 - 90,47.682
1080,18.3885
17 - 30,14.7085
17 - 60,27.1264
17 - 90,38.1456
17,14.7085
18 - 30,14.9385
18 - 60,27.552
18 - 90,38.7396
18,14.9385
592 - 30,16.2265
592 - 60,29.9264
592 - 90,42.0876
592,16.2265
593 - 30,20.8725
593 - 60,38.4832
593 - 90,54.1188
593,20.8725
594 - 30,25.001
594 - 60,46.9616
594 - 90,66.042
594,25.001
1335 - 30,16.2265
1335 - 60,29.9264
1335 - 90,42.0876
1335,16.2265
1336 - 30,20.8725
1336 - 60,38.4832
1336 - 90,54.1188
1336,20.8725
132 - 1,49.2545
132 - 3,141.2208
132 - 6,267.1596
132,49.2545
345 - 1,11.247
345 - 3,29.4896
345 - 6,54.2808
345,11.247
346 - 1,12.6845
346 - 3,33.264
346 - 6,61.2468
346,12.6845
1321 - 30,57.96
1321 - 60,110.768
1321 - 90,157.1616
1321,57.96
284 - 1,11.6725
284 - 3,30.6208
284 - 6,56.3868
284,11.6725
285 - 30,79.8445
285 - 60,152.6224
285 - 90,216.5508
285,79.8445
286 - 30,21.229
286 - 60,39.872
286 - 90,56.0628
286,21.229
287 - 30,40.5605
287 - 60,77.5264
287 - 90,109.998
287,40.5605
288 - 30,57.96
288 - 60,110.768
288 - 90,157.1616
288,57.96
583 - 1,64.906
583 - 3,186.088
583 - 6,352.0584
583,64.906
584 - 1,18.3885
584 - 3,50.8592
584 - 6,95.364
584,18.3885
126 - 1,14.24
126 - 3,40.41
126 - 6,78.58
126,14.24
5 - 30,6.946
5 - 60,12.4208
5 - 90,16.3944
5,6.946
863 - 30,7.6015
863 - 60,13.5632
863 - 90,17.9064
863,7.6015
864 - 30,9.8555
864 - 60,17.5728
864 - 90,23.814
864,9.8555
318 - 20,15.318
318 - 60,42.3808
318 - 100,66.2256
318,15.318
319 - 20,22.563
319 - 60,63.5824
319 - 100,99.3384
319,22.563
1348 - 1,1.6215
1348 - 3,4.536
1348 - 6,7.9812
1348,1.6215
313 - 1,1.6215
313 - 3,4.536
313 - 6,7.9812
313,1.6215
314 - 30,1.4375
314 - 60,2.688
314 - 90,3.7044
314,1.4375
315 - 30,5.5545
315 - 60,10.3488
315 - 90,14.2884
315,5.5545
316 - 30,5.5545
316 - 60,10.3488
316 - 90,14.2884
316,5.5545
317 - 30,6.946
317 - 60,12.936
317 - 90,17.8632
317,6.946
380 - 30,6.095
380 - 60,10.8864
380 - 90,14.3856
380,6.095
381 - 30,10.12
381 - 60,18.0432
381 - 90,24.4728
381,10.12
580 - 30,7.383
580 - 60,13.1824
580 - 90,17.4096
580,7.383
581 - 30,10.764
581 - 60,19.1856
581 - 90,26.0064
581,10.764
763 - 30,5.0025
763 - 60,8.9264
763 - 90,12.3228
763,5.0025
764 - 30,10.0625
764 - 60,17.9312
764 - 90,24.3
764,10.0625
765 - 30,14.421
765 - 60,25.4352
765 - 90,35.7588
765,14.421
766 - 30,13.064
766 - 60,23.0496
766 - 90,32.4108
766,13.064
1026 - 30,14.0415
1026 - 60,24.7632
1026 - 90,34.8084
1026,14.0415
1305 - 30,4.186
1305 - 60,7.4704
1305 - 90,10.2924
1305,4.186
1353 - 30,13.5125
1353 - 60,23.856
1353 - 90,33.534
1353,13.5125
866 - 30,5.0025
866 - 60,8.9376
866 - 90,12.3336
866,5.0025
867 - 30,22.747
867 - 60,42.7168
867 - 90,60.0804
867,22.747
868 - 30,20.907
868 - 60,38.5616
868 - 90,54.2376
868,20.907
869 - 30,8.51
869 - 60,15.1648
869 - 90,20.5632
869,8.51
171 - 30,9.568
171 - 60,17.0352
