sku,price
921 - 30,11.8335
921 - 60,21.1008
921 - 90,28.5984
921,11.8335
922 - 60,50
922 - 120,100
922 - 180,140
922,55.959
541 - 20,13.156
541 - 40,23.2176
541 - 80,43.5348
541,13.156
542 - 200,10.0625
542 - 400,17.9312
542 - 600,24.3
542,10.0625
543 - 30,3.703
543 - 60,6.888
543 - 90,9.1368
543,3.703
609 - 30,5.0025
609 - 60,8.9264
609 - 90,12.3228
609,5.0025
610 - 1,10.465
610 - 3,27.5184
610 - 6,50.6412
610,10.465
611 - 20,15.318
611 - 40,28.2576
611 - 80,52.9848
611,15.318
1311 - 30,43.4585
1311 - 60,83.0704
1311 - 90,117.882
1311,43.4585
137 - 200,12.075
137 - 400,23.4752
137 - 600,32.4108
137,12.075
138 - 1,15.4445
138 - 2,28.2576
138 - 3,39.7332
138,15.4445
139 - 30,30.4405
139 - 60,58.184
139 - 90,82.566
139,30.4405
140 - 30,43.4585
140 - 60,83.0704
140 - 90,117.882
140,43.4585
141 - 30,5.566
141 - 60,9.9344
141 - 90,13.122
141,5.566
142 - 30,6.7275
142 - 60,12.04
142 - 90,15.8868
142,6.7275
143 - 30,20.7
143 - 60,38.1472
143 - 90,53.6328
143,20.7
144 - 1,22.9425
144 - 2,44.0832
144 - 3,61.992
144,22.9425
145 - 30,13.6275
145 - 60,24.0128
145 - 90,33.7716
145,13.6275
147 - 32,17.043
147 - 64,251.3728
147 - 96,353.484
147,17.043
148 - 1,14.421
148 - 2,27.1264
148 - 3,38.1456
148,14.421
149 - 1,18.3885
149 - 2,33.9136
149 - 3,47.682
149,18.3885
150 - 30,18.5495
150 - 60,34.1936
150 - 90,48.0708
150,18.5495
151 - 30,8.5445
151 - 60,15.2432
151 - 90,20.6604
151,8.5445
152 - 120,22.9425
152 - 240,44.0832
152 - 360,61.992
152,22.9425
153 - 30,13.6275
153 - 60,24.0128
153 - 90,33.7716
153,13.6275
155 - 32,17.043
155 - 64,31.6512
155 - 96,44.5068
155,17.043
156 - 120,18.3885
156 - 240,33.9136
156 - 360,47.682
156,18.3885
157 - 30,18.5495
157 - 60,34.1936
157 - 90,48.0708
157,18.5495
158 - 30,11.8335
158 - 60,21.1008
158 - 90,28.5984
158,11.8335
159 - 30,12.627
159 - 60,22.0864
159 - 90,30.4992
159,12.627
160 - 120,13.72525
160 - 240,30.24
160 - 360,42.9192
160,31.05
161 - 30,43.5505
161 - 60,83.2384
161 - 90,118.1088
161,43.5505
162 - 200,21.4475
162 - 400,39.5584
162 - 600,55.6308
162,21.4475
1122 - 1,18.3885
1122 - 2,33.9136
1122 - 3,47.682
1122,18.3885
1123 - 30,15.157
1123 - 60,27.9776
1123 - 90,39.3336
1123,15.157
1124 - 90 Rotacaps and 1 Rotahaler,38.74
1124,38.74
1125 - 1,19.918
1125 - 2,36.736
1125 - 3,51.6564
1125,19.918
1126 - 30,15.4445
1126 - 60,28.4816
1126 - 90,40.0464
1126,15.4445
1127 - 120,31.625
1127 - 240,60.48
1127 - 360,87.48
1127,31.625
105 - 30,6.302
105 - 60,11.2336
105 - 90,14.8392
105,6.302
106 - 1,11.73
106 - 2,23.464
106 - 3,32.4108
106,11.73
108 - 200,11.7415
108 - 400,23.4752
108 - 600,32.4108
108,11.7415
109 - 30,5.3935
109 - 60,9.6096
109 - 90,13.2624
109,5.3935
110 - 30,4.6115
110 - 60,8.2432
110 - 90,11.394
110,4.6115
111 - 1,7.1415
111 - 2,11.4576
111 - 3,15.1416
111,7.1415
454 - 30,13.731
454 - 60,23.856
454 - 90,33.5556
454,13.731
905 - 30,3.3005
905 - 60,6.1488
905 - 90,8.1324
905,3.3005
906 - 30,2.7485
906 - 60,5.1184
906 - 90,7.074
906,2.7485
907 - 1,6.2445
907 - 2,11.1552
907 - 3,14.7312
907,6.2445
908 - 30,12.581
908 - 60,22.008
908 - 90,30.3696
908,12.581
910 - 30,4.577
910 - 60,8.1872
910 - 90,11.2968
910,4.577
911 - 1,6.2445
911 - 2,11.1552
911 - 3,14.7312
911,6.2445
912 - 600,40
912,40
913 - 30,2.7485
913 - 60,5.1184
913 - 90,7.074
913,2.7485
914 - 30,3.013
914 - 60,5.6336
914 - 90,7.4628
914,3.013
19,0
20 - 30,20.6885
20 - 60,38.1472
20 - 90,53.6328
20,20.6885
21 - 30,60.3635
21 - 60,115.3824
21 - 90,163.7172
21,60.3635
25 - 1,28.75
25 - 3,82.4208
25 - 6,155.9196
25,28.75
27 - 30,4.945
27 - 60,8.8368
27 - 90,12.204
27,4.945
28 - 30,8.4755
28 - 60,15.0752
28 - 90,20.4336
28,8.4755
29/Jan,13.064
29/Mar,34.5632
29/Jun,64.8108
29,13.064
45 - 20,15.318
45 - 40,28.2576
45 - 80,52.9848
45,15.318
50 - 20,129.352
50 - 40,247.2512
50 - 90,526.2192
50,129.352
51 - 30,11.3275
51 - 60,20.1824
51 - 90,27.3348
51,11.3275
52 - 1,8.027
52 - 3,20.5632
52 - 6,37.152
52,8.027
53 - 30,6.9115
53 - 60,12.3536
53 - 90,16.308
53,6.9115
54 - 30,11.5
54 - 60,20.5072
54 - 90,27.7884
54,11.5
58 - 1,4.577
58 - 3,12.2752
58 - 6,21.222
58,4.577
59 - 1,4.1285
59 - 3,11.0432
59 - 6,19.4508
59,4.1285
61 - 1,22.563
61 - 3,63.5824
61 - 6,119.2104
61,22.563
62 - 1,4.577
62 - 3,12.2752
62 - 6,21.222
62,4.577
63 - 28,68.4365
63 - 56,130.816
63 - 84,185.6196
63,68.4365
64 - 30,12.581
64 - 60,22.008
64 - 90,30.3696
64,12.581
65 -5,9.5795
65- 15,25.144
65,9.5795
66 - 1,11.5115
66 - 3,30.2288
66 - 6,55.6524
66,11.5115
79 - 60,4.761
79 - 90,6.664
79 - 120,7.83
79,4.761
80 - 1,8.3375
80 - 3,21.3472
80 - 6,38.5776
80,8.3375
92 - 30,107.7895
92 - 60,206.0352
92 - 90,292.3452
92,107.7895
93 - 100,8.027
93 - 200,13.44
93 - 300,16.2
93,8.027
94 - 25,22.9425
94 - 50,43.0864
94 - 75,60.5988
94,22.9425
95 - 30,12.5235
95 - 60,21.9184
95 - 90,30.2616
95,12.5235
96 - 30,23.1955
96 - 60,43.568
96 - 90,61.2684
96,23.1955
97 - 20,8.625
97 - 40,15.3552
97 - 80,27.7668
97,8.625
98 - 30,20.6885
98 - 60,38.1472
98 - 90,53.6328
98,20.6885
99 - 30,11.3275
99 - 60,20.1824
99 - 90,27.3348
99,11.3275
100 - 30,3.703
100 - 60,6.888
100 - 90,9.1368
100,3.703
101 - 30,9.3955
101 - 60,16.7328
101 - 90,22.68
101,9.3955
102 - 120,10.4765
102 - 240,17.9312
102 - 360,24.3
102,10.4765
103 - 120,13.6275
103 - 240,23.7328
103 - 360,33.3828
103,13.6275
116 - 30,6.2445
116 - 60,11.144
116 - 90,14.7096
116,6.2445
117 - 30,8.809
117 - 60,15.6912
117 - 90,21.2652
117,8.809
118 - 30,12.581
118 - 60,22.008
118 - 90,30.3696
118,12.581
119 - 30,6.7275
119 - 60,12.04
119 - 90,15.8868
119,6.7275
121 - 30,14.904
121 - 60,27.4624
121 - 90,38.6208
121,14.904
122 - 1,2.3
122 - 3,6.3952
122 - 6,11.2968
122,2.3
127 - 30,1.863
127 - 60,3.472
127 - 90,4.8168
127,1.863
131 - 1,459.9195
131 - 3,1318.6432
131 - 6,1.4472
131,459.9195
134 - 30,12.6845
134 - 60,22.1872
134 - 90,30.618
134,12.6845
135 - 30,16.9165
135 - 60,31.192
135 - 90,43.8696
135,16.9165
136 - 30,34.0515
136 - 60,65.1056
136 - 90,92.3832
136,34.0515
166 - 1,34.7645
166 - 3,99.68
166 - 6,188.5896
166,34.7645
167 - 2,112.48
167 - 1,57.31
167,57.31
168 - 30,41.66
168,41.66
169 - 30,22.747
169 - 60,42.7168
169 - 90,60.0804
169,22.747
170 - 30,7.2105
170 - 60,12.9024
170 - 90,17.0316
170,7.2105
187 - 100,10.902
187 - 200,20.3056
187 - 300,28.0368
187,10.902
188 - 30,14.421
188 - 60,25.4352
188 - 90,35.7588
188,14.421
189 - 1,7.13
189 - 3,18.2672
189 - 6,33.0264
189,7.13
206 - 1,14.099
206 - 3,37.296
206 - 6,69.9408
206,14.099
207 - 1,21.068
207 - 3,58.2736
207 - 6,109.2636
207,21.068
208 - 1,7.13
208 - 3,18.2672
208 - 6,33.0264
208,7.13
209 - 1,3.6685
209 - 3,9.8224
209 - 6,17.2908
209,3.6685
210 - 1,4.577
210 - 3,12.2752
210 - 6,21.222
210,4.577
211 - 1,9.2345
211 - 3,24.192
211 - 6,44.5608
211,9.2345
217 - 32,5.5315
217 - 64,9.8448
217 - 128,18.1656
217,1.5295
221 - 30,40.5605
221 - 60,77.5264
221 - 90,109.998
221,40.5605
222 - 30,76.0495
222 - 60,145.3536
222 - 90,206.2368
222,76.0495
223 - 30,2.0815
223 - 60,3.8976
223 - 90,5.3676
223,2.0815
224 - 30,3.7375
224 - 60,6.9664
224 - 90,9.2124
224,3.7375
229 - 1,15.318
229 - 3,42.3808
229 - 6,79.4772
229,15.318
231 - 1,13.064
231 - 3,34.5632
231 - 6,64.8108
231,13.064
232 - 2,62.49
232,62.49
238 - 30,15.6745
238 - 60,28.9072
238 - 90,40.6404
238,15.6745
239 - 30,10.1545
239 - 60,18.1104
239 - 90,24.5484
239,10.1545
240 - 1,2.2195
240 - 3,6.1936
240 - 6,10.9404
240,2.2195
249 - 1,16.9855
249 - 3,46.9952
249 - 6,88.1388
249,16.9855
250 - 1,19.0785
250 - 3,52.7744
250 - 6,98.9496
250,19.0785
256 - 1,4.8875
256 - 3,13.0592
256 - 6,22.5828
256,4.8875
